Opt. Const. of B-Spline vs. nm
nm	n	k
370.665100	1.568851	-0.001231	
372.257172	1.568293	-0.001456	
373.849274	1.567739	-0.001679	
375.441345	1.567189	-0.001899	
377.033478	1.566644	-0.002115	
378.625580	1.566104	-0.002327	
380.217712	1.565569	-0.002535	
381.809875	1.565040	-0.002737	
383.402039	1.564517	-0.002933	
384.994202	1.564000	-0.003122	
386.586395	1.563490	-0.003304	
388.178619	1.562988	-0.003479	
389.770813	1.562492	-0.003645	
391.363037	1.562005	-0.003803	
392.955261	1.561525	-0.003951	
394.547516	1.561053	-0.004091	
396.139740	1.560590	-0.004220	
397.731995	1.560136	-0.004340	
399.324280	1.559690	-0.004449	
400.916565	1.559253	-0.004547	
402.508820	1.558825	-0.004634	
404.101105	1.558406	-0.004709	
405.693390	1.557997	-0.004773	
407.285675	1.557598	-0.004825	
408.877991	1.557208	-0.004865	
410.470276	1.556828	-0.004893	
412.062561	1.556458	-0.004909	
413.654877	1.556097	-0.004912	
415.247162	1.555745	-0.004905	
416.839508	1.555402	-0.004889	
418.431793	1.555067	-0.004864	
420.024109	1.554740	-0.004830	
421.616394	1.554420	-0.004790	
423.208740	1.554107	-0.004744	
424.801025	1.553800	-0.004693	
426.393311	1.553500	-0.004638	
427.985657	1.553205	-0.004579	
429.577942	1.552915	-0.004516	
431.170227	1.552630	-0.004452	
432.762543	1.552350	-0.004386	
434.354828	1.552074	-0.004319	
435.947113	1.551803	-0.004252	
437.539368	1.551535	-0.004186	
439.131653	1.551270	-0.004120	
440.723938	1.551009	-0.004055	
442.316162	1.550750	-0.003993	
443.908447	1.550495	-0.003932	
445.500671	1.550241	-0.003875	
447.092926	1.549990	-0.003821	
448.685150	1.549741	-0.003771	
450.277344	1.549494	-0.003725	
451.869537	1.549248	-0.003683	
453.461761	1.549003	-0.003647	
455.053955	1.548759	-0.003616	
456.646088	1.548517	-0.003590	
458.238281	1.548275	-0.003571	
459.830414	1.548034	-0.003557	
461.422546	1.547793	-0.003551	
463.014648	1.547553	-0.003551	
464.606781	1.547313	-0.003557	
466.198883	1.547074	-0.003568	
467.790924	1.546835	-0.003585	
469.382996	1.546597	-0.003607	
470.975037	1.546360	-0.003634	
472.567047	1.546124	-0.003664	
474.159088	1.545889	-0.003698	
475.751068	1.545655	-0.003735	
477.343018	1.545423	-0.003776	
478.934967	1.545192	-0.003819	
480.526917	1.544962	-0.003864	
482.118835	1.544733	-0.003912	
483.710693	1.544506	-0.003961	
485.302582	1.544281	-0.004011	
486.894440	1.544057	-0.004063	
488.486237	1.543835	-0.004115	
490.078064	1.543614	-0.004168	
491.669830	1.543396	-0.004221	
493.261566	1.543179	-0.004275	
494.853333	1.542964	-0.004328	
496.445007	1.542751	-0.004381	
498.036713	1.542540	-0.004433	
499.628357	1.542331	-0.004485	
501.219971	1.542124	-0.004536	
502.811584	1.541919	-0.004585	
504.403168	1.541716	-0.004633	
505.994690	1.541516	-0.004680	
507.586243	1.541317	-0.004725	
509.177673	1.541121	-0.004767	
510.769135	1.540927	-0.004808	
512.360596	1.540736	-0.004847	
513.951965	1.540546	-0.004884	
515.543335	1.540359	-0.004918	
517.134644	1.540175	-0.004949	
518.725952	1.539992	-0.004978	
520.317261	1.539813	-0.005004	
521.908447	1.539635	-0.005027	
523.499634	1.539460	-0.005046	
525.090820	1.539287	-0.005063	
526.681946	1.539117	-0.005077	
528.273071	1.538949	-0.005087	
529.864136	1.538784	-0.005094	
531.455139	1.538620	-0.005099	
533.046082	1.538459	-0.005100	
534.637024	1.538300	-0.005099	
536.227905	1.538144	-0.005096	
537.818787	1.537989	-0.005090	
539.409607	1.537836	-0.005081	
541.000427	1.537686	-0.005071	
542.591187	1.537537	-0.005058	
544.181885	1.537390	-0.005043	
545.772583	1.537246	-0.005026	
547.363159	1.537103	-0.005007	
548.953735	1.536961	-0.004986	
550.544312	1.536822	-0.004964	
552.134766	1.536684	-0.004940	
553.725220	1.536548	-0.004914	
555.315613	1.536414	-0.004887	
556.905945	1.536281	-0.004858	
558.496277	1.536150	-0.004828	
560.086548	1.536020	-0.004797	
561.676758	1.535892	-0.004764	
563.266968	1.535765	-0.004730	
564.857056	1.535640	-0.004695	
566.447144	1.535516	-0.004659	
568.037170	1.535394	-0.004622	
569.627136	1.535273	-0.004584	
571.217102	1.535153	-0.004545	
572.806946	1.535035	-0.004505	
574.396790	1.534917	-0.004465	
575.986572	1.534802	-0.004424	
577.576294	1.534687	-0.004382	
579.165955	1.534574	-0.004339	
580.755554	1.534461	-0.004296	
582.345093	1.534350	-0.004253	
583.934631	1.534240	-0.004208	
585.524048	1.534131	-0.004164	
587.113464	1.534023	-0.004119	
588.702820	1.533917	-0.004074	
590.292114	1.533811	-0.004028	
591.881348	1.533706	-0.003982	
593.470520	1.533603	-0.003936	
595.059631	1.533500	-0.003889	
596.648682	1.533398	-0.003843	
598.237671	1.533297	-0.003796	
599.826599	1.533197	-0.003749	
601.415466	1.533098	-0.003702	
603.004272	1.533000	-0.003655	
